amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
112-0815353-7403451	112-0815353-7403451	2020-08-26T23:10:17+00:00	2020-08-26T23:10:21+00:00	Pending	Amazon	Amazon.com			Standard	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								Amherst	New York	14226	US	VPC-1-133511990 Coupon	false		
112-8240665-6576210	112-8240665-6576210	2020-08-25T15:22:38+00:00	2020-08-26T22:10:00+00:00	Shipped	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Shipped	1	USD	39.99	1.2					20.0		SOUTHFIELD	MI	48076-2065	US	VPC-1-133436623 Coupon	false		
111-0069948-0908273	111-0069948-0908273	2020-08-26T06:27:42+00:00	2020-08-26T20:26:16+00:00	Shipped	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Shipped	1	USD	40.89	1.75					20.0		LAS VEGAS	NV	89117-8412	US	VPC-1-133511990 Coupon	false		
114-6602869-0311419	114-6602869-0311419	2020-08-26T00:22:08+00:00	2020-08-26T17:01:04+00:00	Pending	Amazon	Amazon.com			Standard	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								King of Prussia	Pa	19406	US	US Core Free Shipping Promotion A3JU1FCINF5SD0,VPC-1-133436623 Coupon	false		
112-8201085-4734650	112-8201085-4734650	2020-08-26T01:44:33+00:00	2020-08-26T16:42:11+00:00	Pending	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								PLAINVIEW	NY	11803-5229	US	VPC-1-133436623 Coupon	false		
111-3243910-8882622	111-3243910-8882622	2020-08-26T01:33:44+00:00	2020-08-26T16:22:42+00:00	Cancelled	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Cancelled	0										CHESTER SPRINGS	PA	19425-2136	US		false		
114-0562107-2038656	114-0562107-2038656	2020-08-26T00:09:37+00:00	2020-08-26T16:10:23+00:00	Pending	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								LAS CRUCES	NM	88011-4325	US	VPC-1-133436623 Coupon	false		
112-9565763-5825025	112-9565763-5825025	2020-08-26T00:16:56+00:00	2020-08-26T16:08:14+00:00	Pending	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								OLATHE	KS	66062-3365	US	VPC-1-133436623 Coupon	false		
114-7147106-2438605	114-7147106-2438605	2020-08-26T00:17:01+00:00	2020-08-26T15:59:12+00:00	Pending	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								GLEN ALLEN	VA	23059-5965	US	VPC-1-133436623 Coupon	false		
114-8085054-7479469	114-8085054-7479469	2020-08-26T15:57:40+00:00	2020-08-26T15:57:44+00:00	Pending	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								AUSTIN	TX	78728-7045	US	VPC-1-133511990 Coupon	false		
112-1178297-8828261	112-1178297-8828261	2020-08-26T01:03:28+00:00	2020-08-26T15:55:47+00:00	Pending	Amazon	Amazon.com			Standard	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								CASTRO VALLEY	CA	94546-1920	US	VPC-1-133436623 Coupon	false		
114-1206373-0686618	114-1206373-0686618	2020-08-26T00:11:52+00:00	2020-08-26T15:43:04+00:00	Pending	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								PENNS GROVE	NJ	08069-1601	US	VPC-1-133436623 Coupon	false		
114-1259224-4429852	114-1259224-4429852	2020-08-26T11:56:49+00:00	2020-08-26T15:40:03+00:00	Pending	Amazon	Amazon.com			SecondDay	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								Fountain inn	SC	29644	US	VPC-1-133511990 Coupon	false		
113-3131328-2480248	113-3131328-2480248	2020-08-26T00:14:34+00:00	2020-08-26T15:01:40+00:00	Pending	Amazon	Amazon.com			Standard	VANKYO StayTrue Projector Screen, 120 Inch Projection Screen 4K HD, 16:9, Foldable Wrinkle-Free Movies Screen(1.1 GAIN, 160Â°Viewing Cone) for Home Th	1TD-5A0005-USWH5A-A1S1	B08BLNBVNL	Unshipped	1	USD	40.89								PALM BEACH GARDENS	FL	33418-7736	US	VPC-1-133436623 Coupon	false		
